PetID,EnrollDate,CancelDate,Species,Breed,AgeAtEnroll,Prev1Claim,Prev2Claim,ClaimRSum,ClaimPerMonth,MonthAfterEnroll,ClaimDate,PreClaimMonthDiff,PrePreClaimMonthDiff,RollingSum,DiffInClaim
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,NULL,NULL,1556.97,1556.97,31,4/1/2014,NULL,NULL,NULL,0
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,1556.97,NULL,2029.9,472.93,32,5/1/2014,1,NULL,1556.97,1556.97
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,472.93,1556.97,2359.03,329.13,34,7/1/2014,2,3,2029.9,-1084.04
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,329.13,472.93,2653.23,294.2,36,9/1/2014,2,4,2359.03,-143.8
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,294.2,329.13,2851.11,197.88,37,10/1/2014,1,3,2653.23,-34.93
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,197.88,294.2,3109.37,258.26,38,11/1/2014,1,2,2851.11,-96.32
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,258.26,197.88,3370.85,261.48,40,1/1/2015,2,3,3109.37,60.38
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,261.48,258.26,3518.49,147.64,41,2/1/2015,1,3,3370.85,3.22
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,147.64,261.48,3580.59,62.1,42,3/1/2015,1,2,3518.49,-113.84
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,62.1,147.64,4095.12,514.53,43,4/1/2015,1,2,3580.59,-85.54
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,514.53,62.1,4319.88,224.76,44,5/1/2015,1,2,4095.12,452.43
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,224.76,514.53,4417.77,97.89,45,6/1/2015,1,2,4319.88,-289.77
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,97.89,224.76,5096.37,678.6,46,7/1/2015,1,2,4417.77,-126.87
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,678.6,97.89,5206.39,110.02,47,8/1/2015,1,2,5096.37,580.71
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,110.02,678.6,5703.24,496.85,49,10/1/2015,2,3,5206.39,-568.58
1003,9/1/2011,12/16/2015,Dog,Mixed Breed,3 years old,496.85,110.02,5857.27,154.03,51,12/1/2015,2,4,5703.24,386.83
1009,12/1/2015,,Dog,Mixed Breed,8 weeks to 12 months old,NULL,NULL,93.29,93.29,10,10/1/2016,NULL,NULL,NULL,0
1009,12/1/2015,,Dog,Mixed Breed,8 weeks to 12 months old,93.29,NULL,341.37,248.08,14,2/1/2017,4,NULL,93.29,93.29
1009,12/1/2015,,Dog,Mixed Breed,8 weeks to 12 months old,248.08,93.29,397.79,56.42,28,4/1/2018,14,18,341.37,154.79
1009,12/1/2015,,Dog,Mixed Breed,8 weeks to 12 months old,56.42,248.08,474.26,76.47,29,5/1/2018,1,15,397.79,-191.66
1009,12/1/2015,,Dog,Mixed Breed,8 weeks to 12 months old,76.47,56.42,634.52,160.26,37,1/1/2019,8,9,474.26,20.05
1009,12/1/2015,,Dog,Mixed Breed,8 weeks to 12 months old,160.26,76.47,734.57,100.05,38,2/1/2019,1,9,634.52,83.79
